# listOfpdbName  # highestOverlapPosition  # highestOverlapValue  # highestCollectivityPosition  # highestCollectivityValue  # highestCorrelationPosition  # highestCorrelationValue
1A2K_l_u         11                        0.298188208672999      5                              0.983663059236884           107                           0.493361387134838
1A2K_r_u         12                        0.353719755688713      1                              0.946781743571901           10                            0.628493624570267
1AHW_l_u         7                         0.571439342487278      2                              0.946404100435600           40                            0.619839212303720
1AHW_r_u         13                        0.273814772865148      5                              0.965565221722091           8                             0.449100641898167
1AKJ_l_u         10                        0.176274758060922      5                              0.954041947210392           124                           0.511124754455774
1AKJ_r_u         6                         0.672281227387917      0                              0.986520853487222           8                             0.577389629538794
1AVX_l_u         12                        0.251339625212042      1                              0.914256574448271           26                            0.434100366517024
1AVX_r_u         6                         0.400371512213740      5                              0.861529721434858           17                            0.371400030091828
1AY7_r_u         7                         0.427191968220638      0                              0.907537604199447           7                             0.676602710238084
1AZS_l_u         10                        0.292725102139072      5                              0.955374362127779           84                            0.547120497005921
1AZS_r_u         11                        0.256664120877024      1                              0.921726821893740           1                             0.662437184112760
1B6C_r_u         6                         0.381917439574563      3                              0.895791865025287           9                             0.601160289921654
1BJ1_l_u         10                        0.383337109411105      3                              0.897860165977209           8                             0.751739629029915
1BKD_r_u         11                        0.433972690793999      4                              0.930435980064670           58                            0.748809216775317
1BUH_l_u         18                        0.238378185486468      0                              0.954074876439010           18                            0.453385304253570
1BUH_r_u         7                         0.460607538900036      4                              0.922805452221459           73                            0.606424913502485
1BVK_r_u         6                         0.457338971172222      3                              0.993089519100365           13                            0.547942974611745
1BVN_l_u         10                        0.252466236554808      3                              0.975748288377807           15                            0.537731144796984
1BVN_r_u         6                         0.297617579809268      0                              0.930360878868683           190                           0.487657416299244
1CLV_l_u         8                         0.304596641264681      2                              0.916982032243458           28                            0.560349100199793
1CLV_r_u         7                         0.234258555866661      3                              0.925212752163528           29                            0.420467237906977
1D6R_l_u         6                         0.470924590655735      2                              0.952140311721450           22                            0.522704425052827
1D6R_r_u         8                         0.216433597376718      0                              0.983715970480568           26                            0.625966977814715
1DFJ_l_u         6                         0.803999206181237      0                              0.845633899891207           6                             0.824491219659961
1DFJ_r_u         7                         0.352300089755243      0                              0.989726085704779           23                            0.487989637510831
1DQJ_l_u         8                         0.406262409029414      2                              0.823492695683195           43                            0.553912251492978
1DQJ_r_u         7                         0.613480990439547      4                              0.920114040110767           54                            0.527124960172694
1E4K_l_u         7                         0.642568870294488      5                              0.976769573488916           7                             0.614204609822741
1E6E_r_u         6                         0.521243288223216      4                              0.937850557459689           11                            0.778058475663920
1E6J_l_u         6                         0.541626979901237      3                              0.848916934880962           11                            0.624351333589381
1E6J_r_u         10                        0.452812732092811      0                              0.816597925013096           226                           0.397450410827784
1E96_l_u         8                         0.415426066627648      1                              0.916421944565452           8                             0.556564433198518
1E96_r_u         17                        0.316910271568107      2                              0.871947887524697           13                            0.646805879614544
1EAW_l_u         6                         0.346520591418295      0                              0.898878467673185           23                            0.392996081841651
1EAW_r_u         7                         0.249268653435758      5                              0.932362635131781           12                            0.503129995557980
1EFN_l_u         16                        0.272531759675872      4                              0.912384520726361           8                             0.712769669000946
1EFN_r_u         10                        0.302654825924652      0                              0.819210674784610           6                             0.515759520918843
1EWY_l_u         10                        0.268927694385679      5                              0.844086207322755           10                            0.505509999617115
1EWY_r_u         10                        0.303712360277707      3                              0.904985359664381           10                            0.628917427738853
1EZU_l_u         8                         0.505275520520190      5                              0.937756975654287           7                             0.724494960594823
1EZU_r_u         9                         0.203309351974425      0                              0.946526157326040           12                            0.349520938787283
1F34_l_u         8                         0.632929865574676      4                              0.946369588671762           33                            0.621241968488307
1F34_r_u         6                         0.369982975360559      5                              0.943230146461017           20                            0.429873864204969
1F51_l_u         28                        0.242251385888996      0                              0.940093652492695           21                            0.556827049838006
1F51_r_u         6                         0.392860739748049      3                              0.967400681227113           13                            0.787639524374010
1F6M_l_u         10                        0.252465726396969      5                              0.931093018275201           3                             0.572030176483756
1FCC_r_u         6                         0.545750280717104      5                              0.870390350927553           6                             0.697008348534107
1FFW_r_u         7                         0.417096295318403      1                              0.944522799788742           7                             0.751375252671193
1FLE_r_u         8                         0.282454244003768      5                              0.901779370532927           40                            0.494082184799894
1FQ1_r_u         8                         0.497958119597322      5                              0.980870357875817           16                            0.671068169528687
1FQJ_l_u         11                        0.525997633139213      2                              0.906236518970200           14                            0.375118466420647
1FQJ_r_u         9                         0.347579352207820      5                              0.941060838561212           34                            0.515394442783949
