Fri Apr 20 17:33:40 2018    /home/hrchen/Github/Github_public/cNMA/Manual/Example/Example1/Output/profiler.pro

         10731486 function calls (10694813 primitive calls) in 28.477 seconds

   Ordered by: cumulative time
   List reduced from 1118 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   28.477   28.477 /home/hrchen/Github/Github_public/cNMA/Software/NMAUnified.py:854(mainCalculation)
        1    0.001    0.001   23.782   23.782 /home/hrchen/Github/Github_public/cNMA/Software/NMAUnified.py:313(setupNMA)
        1    0.005    0.005   23.487   23.487 /home/hrchen/Github/Github_public/cNMA/Software/ANMs.py:144(calcANMsUnified)
        2    0.010    0.005   16.771    8.386 /home/hrchen/Github/Github_public/cNMA/Software/ANMs.py:1360(calcCustomH_ANew)
    42487    0.549    0.000   16.559    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/prody/atomic/pointer.py:46(__eq__)
    42516    0.773    0.000   14.821    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/prody/atomic/atomgroup.py:266(__eq__)
      167    0.105    0.001   13.992    0.084 /home/hrchen/Github/Github_public/cNMA/Software/Utils.py:374(getMatchingStructureSelections)
    42535    0.451    0.000   13.149    0.000 {all}
   616538    6.280    0.000   12.698    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/prody/atomic/atomgroup.py:273(<genexpr>)
   659824    1.553    0.000    6.369    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/numpy/core/fromnumeric.py:2021(all)
      111    0.033    0.000    6.009    0.054 /home/hrchen/Github/Github_public/cNMA/Software/ANMs.py:2098(getCalphaPosition)
        1    0.006    0.006    3.954    3.954 /home/hrchen/Github/Github_public/cNMA/Software/ANMs.py:1465(calcCustomH_ANew_IJ)
   663421    0.939    0.000    3.432    0.000 {method 'all' of 'numpy.ndarray' objects}
     2373    0.328    0.000    2.938    0.001 {zip}
   524938    0.927    0.000    2.937    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/prody/atomic/subset.py:109(iterAtoms)


