Wed Jun 14 13:00:00 2017    /home/haoranchen9453/Github/Github_public/cNMA/Manual/Example/Example3/Result/profiler.pro

         23701741 function calls (23372149 primitive calls) in 61.940 seconds

   Ordered by: cumulative time
   List reduced from 1093 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   61.940   61.940 /home/haoranchen9453/Github/Github_public/cNMA/Software/NMAUnified.py:835(mainCalculation)
        1    0.000    0.000   33.874   33.874 /home/haoranchen9453/Github/Github_public/cNMA/Software/NMAUnified.py:313(setupNMA)
        1    0.005    0.005   33.120   33.120 /home/haoranchen9453/Github/Github_public/cNMA/Software/ANMs.py:144(calcANMsUnified)
    45938    0.623    0.000   27.568    0.001 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/atomic/pointer.py:46(__eq__)
    45513    0.892    0.000   25.621    0.001 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/atomic/atomgroup.py:263(__eq__)
        2    0.012    0.006   24.099   12.050 /home/haoranchen9453/Github/Github_public/cNMA/Software/ANMs.py:1358(calcCustomH_ANew)
    45428    0.495    0.000   23.726    0.001 {all}
   681345   15.993    0.000   23.232    0.000 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/atomic/atomgroup.py:270(<genexpr>)
      167    0.120    0.001   20.023    0.120 /home/haoranchen9453/Github/Github_public/cNMA/Software/Utils.py:374(getMatchingStructureSelections)
        1    0.000    0.000   11.325   11.325 /home/haoranchen9453/Github/Github_public/cNMA/Software/NMAUnified.py:100(chainMatching)
        3    0.001    0.000   11.318    3.773 /home/haoranchen9453/Github/Github_public/cNMA/Software/TNMABase.py:64(getOverallMatch)
        5    0.123    0.025   11.315    2.263 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/proteins/compare.py:679(matchTNMAChains)
       27    0.017    0.001   10.353    0.383 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/proteins/compare.py:936(getAlignedMatch)
       27    0.044    0.002   10.316    0.382 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/proteins/pairwise2.py:299(__call__)
       27    0.026    0.001   10.270    0.380 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/proteins/pairwise2.py:308(_align)


