Thu Sep  8 16:24:51 2016    /home/haoranchen9453/Github/cNMA/Software/results/profiler.pro

         10089540 function calls (10054310 primitive calls) in 34.893 seconds

   Ordered by: cumulative time
   List reduced from 792 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   34.893   34.893 /home/haoranchen9453/Github/cNMA/Software/NMAUnified.py:825(mainCalculation)
        1    0.000    0.000   30.860   30.860 /home/haoranchen9453/Github/cNMA/Software/NMAUnified.py:313(setupNMA)
        1    0.004    0.004   30.564   30.564 /home/haoranchen9453/Github/cNMA/Software/ANMs.py:144(calcANMsUnified)
    42487    0.569    0.000   23.635    0.001 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/atomic/pointer.py:46(__eq__)
        2    0.008    0.004   22.700   11.350 /home/haoranchen9453/Github/cNMA/Software/ANMs.py:1358(calcCustomH_ANew)
    42514    0.783    0.000   21.850    0.001 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/atomic/atomgroup.py:263(__eq__)
    42490    0.415    0.000   20.144    0.000 {all}
   574035   13.734    0.000   19.729    0.000 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/atomic/atomgroup.py:270(<genexpr>)
      167    0.108    0.001   18.643    0.112 /home/haoranchen9453/Github/cNMA/Software/Utils.py:370(getMatchingStructureSelections)
      111    0.033    0.000    8.489    0.076 /home/haoranchen9453/Github/cNMA/Software/ANMs.py:2096(getCalphaPosition)
   617321    1.407    0.000    6.012    0.000 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/numpy/core/fromnumeric.py:1964(all)
        1    0.005    0.005    5.134    5.134 /home/haoranchen9453/Github/cNMA/Software/ANMs.py:1463(calcCustomH_ANew_IJ)
   620918    0.898    0.000    3.266    0.000 {method 'all' of 'numpy.ndarray' objects}
   524691    0.953    0.000    2.995    0.000 /home/haoranchen9453/anaconda2/lib/python2.7/site-packages/prody/atomic/subset.py:110(iterAtoms)
     2373    0.321    0.000    2.972    0.001 {zip}


