# listOfpdbName  # highestOverlapPosition  # highestOverlapValue  # highestCollectivityPosition  # highestCollectivityValue  # highestCorrelationPosition  # highestCorrelationValue
1AK4_r_u         6                         0.377646698452230      5                              0.856843100113009           52                            0.584138469842309
1ATN_l_u         143                       0.211737488105697      0                              0.956338602813476           57                            0.598305207712528
1AY7_l_u         7                         0.271124033528255      5                              0.945300927344168           5                             0.519259514676750
1FC2_l_u         7                         0.312866538546390      0                              0.915213033656210           3                             0.403525893332863
1FSK_l_u         23                        0.191785816558266      5                              0.908797340241006           15                            0.426796794597749
1GHQ_r_u         6                         0.450895686258286      4                              0.891002140568004           1                             0.550349796342549
1GL1_r_u         6                         0.239409773960257      2                              0.993129780116885           0                             0.415664302219821
1J2J_r_u         8                         0.321607778868813      5                              0.902759356257709           6                             0.797421455647876
1JPS_r_u         7                         0.536016503884338      2                              0.990638984568204           10                            0.394868519933123
1K74_l_u         8                         0.308463587033671      0                              0.934154125775530           8                             0.648954803969253
1KAC_r_u         7                         0.296357672267173      1                              0.791824372409164           6                             0.545296898541794
1KKL_l_u         7                         0.217752225009361      1                              0.925235596833762           8                             0.353087016955553
1KTZ_l_u         9                         0.394511666150264      1                              0.974969966909539           9                             0.780511185622096
1MAH_r_u         6                         0.280658163281847      1                              0.954296029649282           22                            0.645362718298727
1MLC_r_u         6                         0.425475164689010      4                              0.852629046754739           6                             0.410392138754244
1NCA_l_u         14                        0.123540982273782      1                              0.906418200732875           12                            0.372016328035907
1OPH_l_u         6                         0.272846550405717      2                              0.972763020312024           10                            0.613411366618887
1OYV_r_u         6                         0.448017164974159      1                              0.889410023722493           6                             0.488300089671687
1PPE_r_u         6                         0.535960046205737      0                              0.816498124437527           6                             0.573914626864105
1PVH_r_u         8                         0.528068009725656      1                              0.869124052269138           29                            0.541746190150906
1R0R_r_u         6                         0.240520629880134      4                              0.868114256021090           7                             0.428265534952872
1SBB_r_u         9                         0.412454526308149      2                              0.956708443389992           104                           0.496313907960678
1TMQ_r_u         7                         0.423480889543973      0                              0.970062267415718           7                             0.526868540017910
1US7_l_u         93                        0.292667770069696      3                              0.871836196658069           7                             0.926910375105710
1VFB_r_u         7                         0.411767327038531      0                              0.967063663722111           8                             0.592082824198489
1WEJ_r_u         6                         0.589150967130538      4                              0.932955276380964           5                             0.414175608770399
2ABZ_r_u         29                        0.250975017161873      3                              0.903589903909232           6                             0.699080782422081
2B42_r_u         6                         0.520719803949553      0                              0.846477467144380           14                            0.572257909039648
2FJU_r_u         20                        0.255113680600660      0                              0.956374528272219           12                            0.514451384408212
2HRK_l_u         10                        0.320690989536453      2                              0.957282307168378           14                            0.685301951555341
2IDO_r_u         7                         0.488796304085398      3                              0.863394483070504           10                            0.532113386322338
2MTA_r_u         20                        0.203251839981938      5                              0.903729067953465           19                            0.497149429948799
2O3B_r_u         49                        0.192526378122354      5                              0.973400421740499           29                            0.478022606073253
2OOB_r_u         8                         0.459694776803048      2                              0.982411585276303           4                             0.776717757452580
2OUL_r_u         23                        0.250690655545252      5                              0.944693687575345           9                             0.484423027699541
2SIC_r_u         9                         0.223242384063372      2                              0.921838848141189           30                            0.360321501587495
2SNI_r_u         7                         0.328547616861231      3                              0.884465346770507           8                             0.447891514046726
2UUY_r_u         6                         0.383029962889420      1                              0.864947182666746           6                             0.575674434792054
2VDB_r_u         8                         0.520677047576716      3                              0.969916897122249           6                             0.807552523790435
2VIS_l_u         21                        0.522387427814711      5                              0.933647623901777           21                            0.585809968168065
3SGQ_r_u         13                        0.256016905326539      2                              0.922756678113555           3                             0.505398172679196
BOYV_r_u         6                         0.530963627809801      3                              0.862179966820658           6                             0.603271708211980
