# listOfpdbName  # highestOverlapPosition  # highestOverlapValue  # highestCollectivityPosition  # highestCollectivityValue  # highestCorrelationPosition  # highestCorrelationValue
1ACB_l_u         12                        0.458303592045773      1                              0.946810125248013           19                            0.679805318975258
1ACB_r_u         50                        0.152849421393775      4                              0.980116045954041           59                            0.390970285996406
1AK4_l_u         11                        0.511894124481056      5                              0.924300915735396           9                             0.838663559881364
1ATN_r_u         6                         0.564174377728980      2                              0.941897669327961           7                             0.900640055170723
1B6C_l_u         6                         0.319512640829338      5                              0.897972475532940           9                             0.608761288632082
1BGX_l_u         6                         0.117398890629866      4                              0.977767034913437           105                           0.405463130384233
1BGX_r_u         6                         0.671364985346146      0                              0.832033565692001           6                             0.518648633554159
1BKD_l_u         9                         0.425906379020820      4                              0.976256079880702           5                             0.568636280913752
1BVK_l_u         36                        0.372870618528947      2                              0.819880478723665           36                            0.588430845404181
1CGI_l_u         7                         0.596490268445438      3                              0.934131840070400           2                             0.670837377791613
1CGI_r_u         16                        0.225371342898373      1                              0.962942144142835           0                             0.472943996521777
1DE4_l_u         12                        0.244168195090467      0                              0.907788936127810           26                            0.399781914656946
1DE4_r_u         6                         0.283578398998545      5                              0.905129547566481           152                           0.681713614939270
1E4K_r_u         7                         0.719529443043039      4                              0.977658353099081           7                             0.773464890526008
1E6E_l_u         7                         0.678482456386387      1                              0.983987653197229           7                             0.929800160608054
1EER_l_u         17                        0.641531837935524      2                              0.952513769196363           17                            0.558371121941765
1EER_r_u         11                        0.380360548879554      2                              0.871168811116637           11                            0.595808787565244
1F6M_r_u         7                         0.791506733042752      5                              0.968990232890663           7                             0.695055442115809
1FAK_l_u         21                        0.390519579007746      2                              0.922244694302601           21                            0.813517498097537
1FAK_r_u         7                         0.705411609659662      0                              0.960614202829211           9                             0.865552114138703
1FC2_r_u         28                        0.407930600566474      7                              0.879328052157472           0                             0.597410147809717
1FCC_l_u         91                        0.244599503308151      4                              0.893438824657325           18                            0.408669997124917
1FFW_l_u         206                       0.230446232271250      2                              0.922888642298300           5                             0.431583729959501
1FLE_l_u         29                        0.286583166175992      1                              0.957457202797524           3                             0.465431520870440
1FQ1_l_u         7                         0.318569971797874      2                              0.975509632390657           6                             0.532255198878859
